name,genres,year,country,producer,imdb_rating,link
Отец и сын,драма,1936,СССР,Маргарита Барская,,"https://ru.wikipedia.org/wiki/%D0%9E%D1%82%D0%B5%D1%86_%D0%B8_%D1%81%D1%8B%D0%BD_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1936)"
Юность командиров,"военный фильм,, ,приключения",1939,СССР,Владимир Вайншток,,https://ru.wikipedia.org/wiki/%D0%AE%D0%BD%D0%BE%D1%81%D1%82%D1%8C_%D0%BA%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D0%B8%D1%80%D0%BE%D0%B2
Стенька Разин,драма,1914,,Григорий Либкен,,"https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B5%D0%BD%D1%8C%D0%BA%D0%B0_%D0%A0%D0%B0%D0%B7%D0%B8%D0%BD_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1914)"
Сказка о спящей царевне и семи богатырях,Сказка,1914,Российская империя,Пётр Чардынин,,https://ru.wikipedia.org/wiki/%D0%A1%D0%BA%D0%B0%D0%B7%D0%BA%D0%B0_%D0%BE_%D1%81%D0%BF%D1%8F%D1%89%D0%B5%D0%B9_%D1%86%D0%B0%D1%80%D0%B5%D0%B2%D0%BD%D0%B5_%D0%B8_%D1%81%D0%B5%D0%BC%D0%B8_%D0%B1%D0%BE%D0%B3%D0%B0%D1%82%D1%8B%D1%80%D1%8F%D1%85
Однажды летом,комедия,1936,,Ханан Шмаин,6.7,https://ru.wikipedia.org/wiki/%D0%9E%D0%B4%D0%BD%D0%B0%D0%B6%D0%B4%D1%8B_%D0%BB%D0%B5%D1%82%D0%BE%D0%BC
Эту статью предлагается ,,2018,,,,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%B9%D0%BD%D0%B0%D1%8F_%D0%B6%D0%B8%D0%B7%D0%BD%D1%8C_%D0%BF%D0%B8%D0%BD%D0%B3%D0%B2%D0%B8%D0%BD%D0%BE%D0%B2
Флэш Гордон,"научно-фантастический фильм,[2],боевик,[2],приключенческий фильм,[2]",1936,США,Фредерик Стефани,7.0,https://ru.wikipedia.org/wiki/%D0%A4%D0%BB%D1%8D%D1%88_%D0%93%D0%BE%D1%80%D0%B4%D0%BE%D0%BD_(%D0%BA%D0%B8%D0%BD%D0%BE%D1%81%D0%B5%D1%80%D0%B8%D0%B0%D0%BB)
Пан Твардовский,"исторический, ,фильм ужасов",1936,Польша,Генрик Шаро,6.1,https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D0%BD_%D0%A2%D0%B2%D0%B0%D1%80%D0%B4%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Федька,военный фильм,1936,СССР,Николай Лебедев,4.6,https://ru.wikipedia.org/wiki/%D0%A4%D0%B5%D0%B4%D1%8C%D0%BA%D0%B0
Окаменелый лес,"криминальная ,драма",1936,США,Арчи Майо,7.5,https://ru.wikipedia.org/wiki/%D0%9E%D0%BA%D0%B0%D0%BC%D0%B5%D0%BD%D0%B5%D0%BB%D1%8B%D0%B9_%D0%BB%D0%B5%D1%81_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
